Pair #: 1	Jaccard: 0.3333333333333333	Title 1: RET ACTIVATION BY GERMLINE MEN2A AND MEN2B MUTATIONS	Title 2: ACTIVATION OF RET AS A DOMINANT TRANSFORMING GENE BY GERMLINE MUTATIONS OF MEN2A AND MEN2B	Authors: [:borrello, alberti, arighi, bocciardi, bongarzone, eng, greco, lorenzo, miranda, mondellini, pasini, pierotti, ponder, romeo, scopsi, smith]	Authors: [:santoro, bottaro, carlomagno, dathan, difiore, fusco, grieco, kraus, matoskova, romano, vecchio]	
Pair #: 62	Jaccard: 0.3333333333333333	Title 1: REARRANGEMENTS OF THE RAF KINASE PATHWAY IN PROSTATE CANCER, GASTRIC CANCER AND MELANOMA"	Title 2: IDENTIFICATION OF A CPG ISLAND METHYLATOR PHENOTYPE THAT DEFINES A DISTINCT SUBGROUP OF GLIOMA	Authors: [:palanisamy, ateeq, banerjee, bismar, cao, cao, chen, chinnaiyan, demichelis, dhanasekaran, esgueva, fullen, giordano, greenson, han, johnson, kalyana-sundaram, kuefer, kumar-sinha, lafargue, maher, moeller, pflueger, ramnarayanan, rubin, shankar, siddiqui, suleman, tan, tomlins, varambally]	Authors: [:noushmehr, aldape, baylin, bengtsson, berman, bhat, buckley, cope, diefes, ding, hayes, herman, hoadley, laird, neuvial, pan, pelloski, perou, phillips, pujara, schmidt, shen, sulman, van den berg, verhaak, weisenberger, wilson]	
Pair #: 63	Jaccard: 0.3333333333333333	Title 1: REARRANGEMENTS OF THE RAF KINASE PATHWAY IN PROSTATE CANCER, GASTRIC CANCER AND MELANOMA"	Title 2: INTEGRATIVE GENOMIC PROFILING OF HUMAN PROSTATE CANCER	Authors: [:palanisamy, ateeq, banerjee, bismar, cao, cao, chen, chinnaiyan, demichelis, dhanasekaran, esgueva, fullen, giordano, greenson, han, johnson, kalyana-sundaram, kuefer, kumar-sinha, lafargue, maher, moeller, pflueger, ramnarayanan, rubin, shankar, siddiqui, suleman, tan, tomlins, varambally]	Authors: [:taylor, antipin, arora, carver, cerami, dolgalev, eastham, gerald, gopalan, heguy, hieronymus, kaushik, landers, lash, major, mitsiades, reuter, reva, sander, sawyers, scardino, scher, schultz, socci, wilson, xiao]	
Pair #: 64	Jaccard: 0.3333333333333333	Title 1: PROVIRAL SILENCING IN EMBRYONIC STEM CELLS REQUIRES THE HISTONE METHYLTRANSFERASE ESET	Title 2: KAP1 CONTROLS ENDOGENOUS RETROVIRUSES IN EMBRYONIC STEM CELLS	Authors: [:matsui, kimura, leung, lorincz, maksakova, miyachi, miyashita, shinkai, tachibana]	Authors: [:rowe, aktas, constam, jakobsson, layard-liesching, maillard, marquis, mesnard, reynard, rougemont, spitz, trono, verp]	
Pair #: 65	Jaccard: 0.3333333333333333	Title 1: PLURIPOTENCY AND CELLULAR REPROGRAMMING: FACTS, HYPOTHESES, UNRESOLVED ISSUES"	Title 2: A MESENCHYMAL-TO-EPITHELIAL TRANSITION INITIATES AND IS REQUIRED FOR THE NUCLEAR REPROGRAMMING OF MOUSE FIBROBLASTS	Authors: [:hanna, jaenisch, saha]	Authors: [:li, chen, esteban, feng, gan, he, lai, li, li, li, liang, ni, pei, qin, qin, qing, song, xu, yang, yang, zeng, zhang, zhou, zhuang]	
Pair #: 66	Jaccard: 0.3333333333333333	Title 1: PLURIPOTENCY AND CELLULAR REPROGRAMMING: FACTS, HYPOTHESES, UNRESOLVED ISSUES"	Title 2: FUNCTIONAL GENOMICS REVEALS A BMP-DRIVEN MESENCHYMAL-TO-EPITHELIAL TRANSITION IN THE INITIATION OF SOMATIC CELL REPROGRAMMING	Authors: [:hanna, jaenisch, saha]	Authors: [:samavarchi-tehrani, beyer, datti, david, golipour, nagy, sung, woltjen, wrana]	
Pair #: 67	Jaccard: 0.3333333333333333	Title 1: PLANT IMMUNITY: TOWARDS AN INTEGRATED VIEW OF PLANT-PATHOGEN INTERACTIONS	Title 2: AUTOACETYLATION OF THE RALSTONIA SOLANACEARUM EFFECTOR POPP2 TARGETS A LYSINE RESIDUE ESSENTIAL FOR RRS1-R-MEDIATED IMMUNITY IN ARABIDOPSIS	Authors: [:dodds, rathjen]	Authors: [:tasset, bernoux, briere, deslandes, jauneau, kieffer-jacquinod, marco, pouzet, rivas]	
Pair #: 68	Jaccard: 0.3333333333333333	Title 1: MECHANISMS UNDERLYING SPONTANEOUS PATTERNED ACTIVITY IN DEVELOPING NEURAL CIRCUITS	Title 2: CALCIUM ACTION POTENTIALS IN HAIR CELLS PATTERN AUDITORY NEURON ACTIVITY BEFORE HEARING ONSET	Authors: [:blankenship, feller]	Authors: [:tritsch, bergles, borst, crins, rodriguez-contreras, wang]	
Pair #: 69	Jaccard: 0.3333333333333333	Title 1: LIMITATIONS OF CONVENTIONAL APPROACHES TO IDENTIFY MYOCYTE NUCLEI IN HISTOLOGIC SECTIONS OF THE HEART	Title 2: CARDIOMYOCYTE CELL CYCLE CONTROL AND GROWTH ESTIMATION IN VIVO-AN ANALYSIS BASED ON CARDIOMYOCYTE NUCLEI	Authors: [:ang, field, galinanes, reuter, rubart, shenje, soonpaa]	Authors: [:walsh, fleischmann, jovinge, ponten]	
Pair #: 70	Jaccard: 0.3333333333333333	Title 1: LAMIN-BINDING PROTEINS	Title 2: INTERACTIONS BETWEEN NUCLEI AND THE CYTOSKELETON ARE MEDIATED BY SUN-KASH NUCLEAR-ENVELOPE BRIDGES	Authors: [:wilson, foisner]	Authors: [:starr, fridolfsson]	
Pair #: 71	Jaccard: 0.3333333333333333	Title 1: JTK_CYCLE: AN EFFICIENT NONPARAMETRIC ALGORITHM FOR DETECTING RHYTHMIC COMPONENTS IN GENOME-SCALE DATA SETS	Title 2: DN1(P) CIRCADIAN NEURONS COORDINATE ACUTE LIGHT AND PDF INPUTS TO PRODUCE ROBUST DAILY BEHAVIOR IN DROSOPHILA	Authors: [:hughes, hogenesch, kornacker]	Authors: [:zhang, allada, chung, hardin, kilman, lear, liu, mahesh, meissner]	
Pair #: 72	Jaccard: 0.3333333333333333	Title 1: GENETIC DISSECTION OF AN AMYGDALA MICROCIRCUIT THAT GATES CONDITIONED FEAR	Title 2: DISTINCT ROLES OF SYNAPTIC TRANSMISSION IN DIRECT AND INDIRECT STRIATAL PATHWAYS TO REWARD AND AVERSIVE BEHAVIOR	Authors: [:haubensak, anderson, biag, cai, callaway, ciocchi, deisseroth, dong, fanselow, kunwar, luethi, ponnusamy, wall]	Authors: [:hikida, funabiki, kimura, nakanishi, wada]	
Pair #: 73	Jaccard: 0.3333333333333333	Title 1: FUNCTIONAL ROLES FOR NOISE IN GENETIC CIRCUITS	Title 2: DIFFERENTIAL EXPRESSION ANALYSIS FOR SEQUENCE COUNT DATA	Authors: [:eldar, elowitz]	Authors: [:anders, huber]	
Pair #: 74	Jaccard: 0.3333333333333333	Title 1: FUNCTIONAL GENOMICS REVEALS A BMP-DRIVEN MESENCHYMAL-TO-EPITHELIAL TRANSITION IN THE INITIATION OF SOMATIC CELL REPROGRAMMING	Title 2: A MESENCHYMAL-TO-EPITHELIAL TRANSITION INITIATES AND IS REQUIRED FOR THE NUCLEAR REPROGRAMMING OF MOUSE FIBROBLASTS	Authors: [:samavarchi-tehrani, beyer, datti, david, golipour, nagy, sung, woltjen, wrana]	Authors: [:li, chen, esteban, feng, gan, he, lai, li, li, li, liang, ni, pei, qin, qin, qing, song, xu, yang, yang, zeng, zhang, zhou, zhuang]	
Pair #: 75	Jaccard: 0.3333333333333333	Title 1: VPX RELIEVES INHIBITION OF HIV-1 INFECTION OF MACROPHAGES MEDIATED BY THE SAMHD1 PROTEIN	Title 2: SAMHD1 IS THE DENDRITIC- AND MYELOID-CELL-SPECIFIC HIV-1 RESTRICTION FACTOR COUNTERACTED BY VPX	Authors: [:hrecka, florens, gierszewska, hao, kesik-brodacka, skowronski, srivastava, swanson, washburn]	Authors: [:laguette, benkirane, casartelli, chable-bessia, emiliani, ringeard, schwartz, segeral, sobhian, yatim]	
Pair #: 76	Jaccard: 0.3333333333333333	Title 1: TRANSPOSON-MEDIATED TRANSGENESIS IN THE SHORT-LIVED AFRICAN KILLIFISH NOTHOBRANCHIUS FURZERI, A VERTEBRATE MODEL FOR AGING"	Title 2: THE SHORT-LIVED ANNUAL FISH NOTHOBRANCHIUS FURZERI SHOWS A TYPICAL TELEOST AGING PROCESS REINFORCED BY HIGH INCIDENCE OF AGE-DEPENDENT NEOPLASIAS	Authors: [:valenzano, brunet, sharp]	Authors: [:di cicco, cellerino, rossi, tozzini]	
Pair #: 77	Jaccard: 0.3333333333333333	Title 1: TNF ALPHA CONTROLS GLUTAMATERGIC GLIOTRANSMISSION IN THE HIPPOCAMPAL DENTATE GYRUS	Title 2: IMMUNE MODULATION OF LEARNING, MEMORY, NEURAL PLASTICITY AND NEUROGENESIS"	Authors: [:santello, bezzi, volterra]	Authors: [:yirmiya, goshen]	
Pair #: 78	Jaccard: 0.3333333333333333	Title 1: THE TRANSCRIPTION FACTOR MYC CONTROLS METABOLIC REPROGRAMMING UPON T LYMPHOCYTE ACTIVATION	Title 2: CUTTING EDGE: DISTINCT GLYCOLYTIC AND LIPID OXIDATIVE METABOLIC PROGRAMS ARE ESSENTIAL FOR EFFECTOR AND REGULATORY CD4(+) T CELL SUBSETS	Authors: [:wang, carter, chi, dillon, finkelstein, fitzgerald, green, mccormick, milasta, munger, shi]	Authors: [:michalek, gerriets, jacobs, macintyre, maciver, mason, nichols, rathmell, sullivan]	
Pair #: 79	Jaccard: 0.3333333333333333	Title 1: THE STREPTOCOCCUS THERMOPHILUS CRISPR/CAS SYSTEM PROVIDES IMMUNITY IN ESCHERICHIA COLI	Title 2: CRISPR RNA MATURATION BY TRANS-ENCODED SMALL RNA AND HOST FACTOR RNASE III	Authors: [:sapranauskas, barrangou, fremaux, gasiunas, horvath, siksnys]	Authors: [:deltcheva, chao, charpentier, chylinski, eckert, gonzales, pirzada, sharma, vogel]	
Pair #: 80	Jaccard: 0.3333333333333333	Title 1: THE NEUTRALIZATION BREADTH OF HIV-1 DEVELOPS INCREMENTALLY OVER FOUR YEARS AND IS ASSOCIATED WITH CD4(+) T CELL DECLINE AND HIGH VIRAL LOAD DURING ACUTE INFECTION	Title 2: CHARACTERISTICS OF THE EARLIEST CROSS-NEUTRALIZING ANTIBODY RESPONSE TO HIV-1	Authors: [:gray, hermanus, karim, madiga, mlisana, moore, morris, sibeko, tumba, werner, wibmer, williamson]	Authors: [:mikell, alter, altfeld, kalams, sather, stamatatos]	
Pair #: 81	Jaccard: 0.3333333333333333	Title 1: STRUCTURAL PROPERTIES OF THE CAENORHABDITIS ELEGANS NEURONAL NETWORK	Title 2: AN IMAGE-FREE OPTO-MECHANICAL SYSTEM FOR CREATING VIRTUAL ENVIRONMENTS AND IMAGING NEURONAL ACTIVITY IN FREELY MOVING CAENORHABDITIS ELEGANS	Authors: [:varshney, chen, chklovskii, hall, paniagua]	Authors: [:faumont, doe, griesbeck, heckscher, lawton, lockery, mccormick, roberts, rondeau, sottile, thiele]	
Pair #: 82	Jaccard: 0.3333333333333333	Title 1: STRUCTURAL PROPERTIES OF THE CAENORHABDITIS ELEGANS NEURONAL NETWORK	Title 2: AN IMBALANCING ACT: GAP JUNCTIONS REDUCE THE BACKWARD MOTOR CIRCUIT ACTIVITY TO BIAS C. ELEGANS FOR FORWARD LOCOMOTION	Authors: [:varshney, chen, chklovskii, hall, paniagua]	Authors: [:kawano, gao, leung, po, ryu, zhen]	
Pair #: 83	Jaccard: 0.3333333333333333	Title 1: QUANTITATIVE, HIGH-RESOLUTION PROTEOMICS FOR DATA-DRIVEN SYSTEMS BIOLOGY"	Title 2: AMYLOID-LIKE AGGREGATES SEQUESTER NUMEROUS METASTABLE PROTEINS WITH ESSENTIAL CELLULAR FUNCTIONS	Authors: [:cox, mann]	Authors: [:olzscha, hartl, hayer-hartl, hecht, pinkert, schermann, tartaglia, vabulas, vendruscolo, woerner]	
Pair #: 84	Jaccard: 0.3333333333333333	Title 1: POSTPRANDIAL BLOOD GLUCOSE PREDICTS CARDIOVASCULAR EVENTS AND ALL-CAUSE MORTALITY IN TYPE 2 DIABETES IN A 14-YEAR FOLLOW-UP	Title 2: CALCULATING MEAL GLYCEMIC INDEX BY USING MEASURED AND PUBLISHED FOOD VALUES COMPARED WITH DIRECTLY MEASURED MEAL GLYCEMIC INDEX	Authors: [:cavalot, anfossi, bonomo, di martino, massucco, pagliarino, trovati, valle]	Authors: [:dodd, brown, venn, williams]	
Pair #: 85	Jaccard: 0.3333333333333333	Title 1: POSTPRANDIAL BLOOD GLUCOSE PREDICTS CARDIOVASCULAR EVENTS AND ALL-CAUSE MORTALITY IN TYPE 2 DIABETES IN A 14-YEAR FOLLOW-UP	Title 2: LINKING LONG-TERM DIETARY PATTERNS WITH GUT MICROBIAL ENTEROTYPES	Authors: [:cavalot, anfossi, bonomo, di martino, massucco, pagliarino, trovati, valle]	Authors: [:wu, baldassano, bewtra, bittinger, bushman, chen, chen, gilroy, gupta, hoffmann, keilbaugh, knight, knights, lewis, li, nessel, sinha, walters]	
Pair #: 86	Jaccard: 0.3333333333333333	Title 1: NLR FUNCTIONS IN PLANT AND ANIMAL IMMUNE SYSTEMS: SO FAR AND YET SO CLOSE	Title 2: INDEPENDENTLY EVOLVED VIRULENCE EFFECTORS CONVERGE ONTO HUBS IN A PLANT IMMUNE SYSTEM NETWORK	Authors: [:maekawa, kufer, schulze-lefert]	Authors: [:mukhtar, beynon, boxem, braun, carvunis, chen, dangl, donovan, dreze, ecker, epple, gai, galli, gebreab, ghamsari, gutierrez, hao, harbort, he, hill, mcdonald, monachello, moore, nishimura, pevzner, poulin, romero, roth, santhanam, steinbrenner, tam, tasan, vandenhaute, vidal]	
Pair #: 87	Jaccard: 0.3333333333333333	Title 1: NASCENT TRANSCRIPT SEQUENCING VISUALIZES TRANSCRIPTION AT NUCLEOTIDE RESOLUTION	Title 2: GLOBAL IMPACT OF RNA POLYMERASE II ELONGATION INHIBITION ON ALTERNATIVE SPLICING REGULATION	Authors: [:churchman, weissman]	Authors: [:ip, blencowe, fraser, odom, pan, ramani, schmidt]	
Pair #: 88	Jaccard: 0.3333333333333333	Title 1: MEME-CHIP: MOTIF ANALYSIS OF LARGE DNA DATASETS	Title 2: ANIMAL TRANSCRIPTION NETWORKS AS HIGHLY CONNECTED, QUANTITATIVE CONTINUA"	Authors: [:machanick, bailey]	Authors: [:biggin]	
Pair #: 89	Jaccard: 0.3333333333333333	Title 1: MEME-CHIP: MOTIF ANALYSIS OF LARGE DNA DATASETS	Title 2: IN EMBRYONIC STEM CELLS, ZFP57/KAP1 RECOGNIZE A METHYLATED HEXANUCLEOTIDE TO AFFECT CHROMATIN AND DNA METHYLATION OF IMPRINTING CONTROL REGIONS"	Authors: [:machanick, bailey]	Authors: [:quenneville, baglivo, corsinotti, grimaldi, jakobsson, kapopoulou, offner, pedone, riccio, trono, verde]	
Pair #: 90	Jaccard: 0.3333333333333333	Title 1: MECHANISMS FOR THE INHERITANCE OF CHROMATIN STATES	Title 2: DNA-BINDING FACTORS SHAPE THE MOUSE METHYLOME AT DISTAL REGULATORY REGIONS	Authors: [:moazed]	Authors: [:stadler, burger, gaidatzis, ivanek, lienert, murr, oakeley, schoeler, schuebeler, tiwari, wirbelauer]	
Pair #: 91	Jaccard: 0.3333333333333333	Title 1: MAPPING IN VIVO PROTEIN-RNA INTERACTIONS AT SINGLE-NUCLEOTIDE RESOLUTION FROM HITS-CLIP DATA	Title 2: A CERNA HYPOTHESIS: THE ROSETTA STONE OF A HIDDEN RNA LANGUAGE?	Authors: [:zhang, darnell]	Authors: [:salmena, kats, pandolfi, poliseno, tay]	
Pair #: 92	Jaccard: 0.3333333333333333	Title 1: LINKING LONG-TERM DIETARY PATTERNS WITH GUT MICROBIAL ENTEROTYPES	Title 2: CALCULATING MEAL GLYCEMIC INDEX BY USING MEASURED AND PUBLISHED FOOD VALUES COMPARED WITH DIRECTLY MEASURED MEAL GLYCEMIC INDEX	Authors: [:wu, baldassano, bewtra, bittinger, bushman, chen, chen, gilroy, gupta, hoffmann, keilbaugh, knight, knights, lewis, li, nessel, sinha, walters]	Authors: [:dodd, brown, venn, williams]	
Pair #: 93	Jaccard: 0.3333333333333333	Title 1: INTERACTOME NETWORKS AND HUMAN DISEASE	Title 2: A PUBLIC GENOME-SCALE LENTIVIRAL EXPRESSION LIBRARY OF HUMAN ORFS	Authors: [:vidal, barabasi, cusick]	Authors: [:yang, alkan, balcha, bhimdi, boehm, cindy, fan, ghamsari, green, hahn, hao, hieronymus, hill, johannessen, lin, lubonja, murray, root, salehi-ashtiani, shen, silver, thomas, vidal, yang]	
Pair #: 94	Jaccard: 0.3333333333333333	Title 1: INDUCING SLEEP BY REMOTE CONTROL FACILITATES MEMORY CONSOLIDATION IN DROSOPHILA	Title 2: AN OPPORTUNISTIC THEORY OF CELLULAR AND SYSTEMS CONSOLIDATION	Authors: [:donlea, gottschalk, shaw, suzuki, thimgan]	Authors: [:mednick, anagnostaras, cai, shuman, wixted]	
Pair #: 95	Jaccard: 0.4	Title 1: INCREASING THE POTENCY AND BREADTH OF AN HIV ANTIBODY BY USING STRUCTURE-BASED RATIONAL DESIGN	Title 2: FOCUSED EVOLUTION OF HIV-1 NEUTRALIZING ANTIBODIES REVEALED BY STRUCTURES AND DEEP SEQUENCING	Authors: [:diskin, abadir, bjorkman, gao, gnanapragasam, klein, marcovecchio, nussenzweig, scheid, seaman, west]	Authors: [:wu, bonsignori, burton, chen, connors, crump, doria-rose, georgiev, haynes, kapiga, koff, kwong, longo, louder, mascola, mckee, mullikin, nabel, o'dell, perfetto, roederer, sam, schmidt, shapiro, shi, simek, wang, wu, yang, yang, yang, zhang, zhang, zhou, zhu]	
Pair #: 96	Jaccard: 0.3333333333333333	Title 1: IN EMBRYONIC STEM CELLS, ZFP57/KAP1 RECOGNIZE A METHYLATED HEXANUCLEOTIDE TO AFFECT CHROMATIN AND DNA METHYLATION OF IMPRINTING CONTROL REGIONS"	Title 2: ANIMAL TRANSCRIPTION NETWORKS AS HIGHLY CONNECTED, QUANTITATIVE CONTINUA"	Authors: [:quenneville, baglivo, corsinotti, grimaldi, jakobsson, kapopoulou, offner, pedone, riccio, trono, verde]	Authors: [:biggin]	
Pair #: 97	Jaccard: 0.3333333333333333	Title 1: COMBINATION EPIGENETIC THERAPY HAS EFFICACY IN PATIENTS WITH REFRACTORY ADVANCED NON-SMALL CELL LUNG CANCER	Title 2: CANCER IMMUNOEDITING: INTEGRATING IMMUNITY'S ROLES IN CANCER SUPPRESSION AND PROMOTION	Authors: [:juergens, baylin, belinsky, brock, coleman, delgado, franco, herman, hooker, lee, murphy, rodgers, rudek, rudin, sebree, tsai, vendetti, wrangle, zhao]	Authors: [:schreiber, old, smyth]	
Pair #: 98	Jaccard: 0.3333333333333333	Title 1: ANDROMEDA: A PEPTIDE SEARCH ENGINE INTEGRATED INTO THE MAXQUANT ENVIRONMENT	Title 2: AMYLOID-LIKE AGGREGATES SEQUESTER NUMEROUS METASTABLE PROTEINS WITH ESSENTIAL CELLULAR FUNCTIONS	Authors: [:cox, mann, michalski, neuhauser, olsen, scheltema]	Authors: [:olzscha, hartl, hayer-hartl, hecht, pinkert, schermann, tartaglia, vabulas, vendruscolo, woerner]	
Pair #: 99	Jaccard: 0.3333333333333333	Title 1: AN IMBALANCING ACT: GAP JUNCTIONS REDUCE THE BACKWARD MOTOR CIRCUIT ACTIVITY TO BIAS C. ELEGANS FOR FORWARD LOCOMOTION	Title 2: AN IMAGE-FREE OPTO-MECHANICAL SYSTEM FOR CREATING VIRTUAL ENVIRONMENTS AND IMAGING NEURONAL ACTIVITY IN FREELY MOVING CAENORHABDITIS ELEGANS	Authors: [:kawano, gao, leung, po, ryu, zhen]	Authors: [:faumont, doe, griesbeck, heckscher, lawton, lockery, mccormick, roberts, rondeau, sottile, thiele]	
Pair #: 100	Jaccard: 0.3333333333333333	Title 1: USING GENE EXPRESSION NOISE TO UNDERSTAND GENE REGULATION	Title 2: COUNTING ABSOLUTE NUMBERS OF MOLECULES USING UNIQUE MOLECULAR IDENTIFIERS	Authors: [:munsky, neuert, van oudenaarden]	Authors: [:kivioja, bonke, enge, karlsson, linnarsson, taipale, vaharautio]	
Pair #: 101	Jaccard: 0.3333333333333333	Title 1: U1 SNRNP DETERMINES MRNA LENGTH AND REGULATES ISOFORM EXPRESSION	Title 2: GENOME REGULATION BY LONG NONCODING RNAS	Authors: [:berg, cho, dreyfuss, kaida, liu, pinto, sherrill-mix, singh, wan, younis, zhang]	Authors: [:rinn, chang]	
Pair #: 102	Jaccard: 0.3333333333333333	Title 1: U1 SNRNP DETERMINES MRNA LENGTH AND REGULATES ISOFORM EXPRESSION	Title 2: NURD SUPPRESSES PLURIPOTENCY GENE EXPRESSION TO PROMOTE TRANSCRIPTIONAL HETEROGENEITY AND LINEAGE COMMITMENT	Authors: [:berg, cho, dreyfuss, kaida, liu, pinto, sherrill-mix, singh, wan, younis, zhang]	Authors: [:reynolds, behrens, bertone, brennecke, costello, hendrich, humphreys, hynes-allen, kalkan, latos, leaford, loos, mansfield, mosaku, nakagawa, o'shaughnessy, signolet, strouboulis]	
Pair #: 103	Jaccard: 0.3333333333333333	Title 1: U1 SNRNP DETERMINES MRNA LENGTH AND REGULATES ISOFORM EXPRESSION	Title 2: STRUCTURE-BASED PREDICTION OF PROTEIN-PROTEIN INTERACTIONS ON A GENOME-WIDE SCALE	Authors: [:berg, cho, dreyfuss, kaida, liu, pinto, sherrill-mix, singh, wan, younis, zhang]	Authors: [:zhang, accili, bisikirska, califano, deng, honig, hunter, lefebvre, maniatis, petrey, qiang, shi, thu]	
Pair #: 104	Jaccard: 0.3333333333333333	Title 1: TRANSSYNAPTIC SIGNALING BY ACTIVITY-DEPENDENT CLEAVAGE OF NEUROLIGIN-1	Title 2: ACTIVITY-DEPENDENT PROTEOLYTIC CLEAVAGE OF NEUROLIGIN-1	Authors: [:peixoto, ehlers, kunz, kwon, mabb, philpot, sabatini]	Authors: [:suzuki, fukuyama, hayashi, horiuchi, iwatsubo, koyama, kumazaki, matsuki, nakahara, nishiyama, osawa, prox, saftig, sehara-fujisawa, tanimura, tomita, yokoshima, zeng]	
Pair #: 105	Jaccard: 0.3333333333333333	Title 1: TRANSCRIPT DYNAMICS OF PROINFLAMMATORY GENES REVEALED BY SEQUENCE ANALYSIS OF SUBCELLULAR RNA FRACTIONS	Title 2: THE ACCESSIBLE CHROMATIN LANDSCAPE OF THE HUMAN GENOME	Authors: [:bhatt, barozzi, black, lissner, natoli, pandya-jones, smale, tong]	Authors: [:thurman, akey, bates, boatman, canfield, crawford, dekker, diegel, dorschner, dunn, ebersol, frum, furey, garg, giste, hansen, haugen, humbert, iyer, john, johnson, johnson, kaul, kutyavin, lajoie, lee, lee, lenhard, lieb, london, lotakis, maurano, navas, neph, neri, nguyen, qu, reynolds, roach, rynes, sabo, safi, sanchez, sandstrom, sanyal, shafer, sheffield, simon, song, stamatoyannopoulos, stamatoyannopoulos, stergachis, sunyaev, tewari, vernot, vierstra, vong, wang, weaver, yan, zhang, zhang]	
Pair #: 106	Jaccard: 0.3333333333333333	Title 1: TOPOLOGY OF THE HUMAN AND MOUSE M(6)A RNA METHYLOMES REVEALED BY M(6)A-SEQ	Title 2: COMPREHENSIVE ANALYSIS OF MRNA METHYLATION REVEALS ENRICHMENT IN 3 ' UTRS AND NEAR STOP CODONS	Authors: [:dominissini, amariglio, cesarkas, jacob-hirsch, kupiec, moshitch-moshkovitz, osenberg, rechavi, salmon-divon, schwartz, sorek, ungar]	Authors: [:meyer, elemento, jaffrey, mason, saletore, zumbo]	
Pair #: 107	Jaccard: 0.3076923076923077	Title 1: TOPOLOGICAL DOMAINS IN MAMMALIAN GENOMES IDENTIFIED BY ANALYSIS OF CHROMATIN INTERACTIONS	Title 2: SPATIAL PARTITIONING OF THE REGULATORY LANDSCAPE OF THE X-INACTIVATION CENTRE	Authors: [:dixon, hu, kim, li, liu, ren, selvaraj, shen, yue]	Authors: [:nora, barillot, bluethgen, dekker, giorgetti, gribnau, heard, lajoie, meisig, okamoto, piolot, schulz, sedat, servant, van berkum]	
Pair #: 108	Jaccard: 0.3333333333333333	Title 1: THE TRANSLATIONAL LANDSCAPE OF MTOR SIGNALLING STEERS CANCER INITIATION AND METASTASIS	Title 2: MITOCHONDRIA AND CANCER	Authors: [:hsieh, bonham, christensen, edlind, feldman, ingolia, janes, jessen, liu, martin, ren, rommel, ruggero, sher, shi, shokat, stumpf, wang, weissman]	Authors: [:wallace]	
Pair #: 109	Jaccard: 0.3333333333333333	Title 1: THE MYSTERIOUS MOTIVATIONAL FUNCTIONS OF MESOLIMBIC DOPAMINE	Title 2: LOCALIZED MICROSTIMULATION OF PRIMATE PREGENUAL CINGULATE CORTEX INDUCES NEGATIVE DECISION-MAKING	Authors: [:salamone, correa]	Authors: [:amemori, graybiel]	
Pair #: 110	Jaccard: 0.5	Title 1: THE MUTATIONAL LANDSCAPE OF LETHAL CASTRATION-RESISTANT PROSTATE CANCER	Title 2: EXOME SEQUENCING IDENTIFIES RECURRENT SPOP, FOXA1 AND MED12 MUTATIONS IN PROSTATE CANCER"	Authors: [:grasso, anstett, asangani, ateeq, brenner, cao, chinnaiyan, chun, dhanasekaran, jing, khan, kunju, lonigro, mehra, palanisamy, pienta, prensner, quist, raphael, rhodes, robinson, ryslik, sam, siddiqui, tomlins, vandin, wu]	Authors: [:barbieri, ardlie, auclair, baca, blattner, boysen, carter, chae, cibulskis, demichelis, gabriel, garraway, getz, golub, guiducci, hussain, kantoff, kitabayashi, lander, lawrence, macdonald, meyerson, moch, morrissey, mosquera, nelson, nickerson, onofrio, park, ramos, redman, rubin, rupp, saksena, sheikh, sivachenko, stojanov, stransky, tewari, theurillat, van allen, voet, vuong, white, wild, winckler]	
Pair #: 111	Jaccard: 0.4	Title 1: THE LONG-RANGE INTERACTION LANDSCAPE OF GENE PROMOTERS	Title 2: GENCODE: THE REFERENCE HUMAN GENOME ANNOTATION FOR THE ENCODE PROJECT	Authors: [:sanyal, dekker, jain, lajoie]	Authors: [:harrow, aken, balasubramanian, barnes, barrell, bignell, boychenko, brent, chrast, derrien, despacio-reyes, diekhans, ezkurdia, frankish, gerstein, gonzalez, guigo, harte, haussler, howald, hubbard, hunt, kay, kellis, kokocinski, lin, manuel rodriguez, mukherjee, pei, rajan, reymond, saunders, searle, steward, tanzer, tapanari, tress, valencia, van baren, walters, zadissa]	
Pair #: 112	Jaccard: 0.3333333333333333	Title 1: THE CRYSTAL STRUCTURE OF HUMAN ARGONAUTE2	Title 2: ARGONAUTE DIVIDES ITS RNA GUIDE INTO DOMAINS WITH DISTINCT FUNCTIONS AND RNA-BINDING PROPERTIES	Authors: [:schirle, macrae]	Authors: [:wee, flores-jasso, salomon, zamore]	
Pair #: 113	Jaccard: 0.3333333333333333	Title 1: THE CRYSTAL STRUCTURE OF HUMAN ARGONAUTE2	Title 2: STRUCTURE OF YEAST ARGONAUTE WITH GUIDE RNA	Authors: [:schirle, macrae]	Authors: [:nakanishi, bartel, patel, weinberg]	
Pair #: 114	Jaccard: 0.2857142857142857	Title 1: THE BLOCKADE OF IMMUNE CHECKPOINTS IN CANCER IMMUNOTHERAPY	Title 2: SAFETY, ACTIVITY, AND IMMUNE CORRELATES OF ANTI-PD-1 ANTIBODY IN CANCER"	Authors: [:pardoll]	Authors: [:topalian, agrawal, anders, antonia, atkins, brahmer, carvajal, chen, drake, gettinger, gupta, hodi, horn, jure-kunkel, kollia, korman, leming, mcdermott, mcdonald, mcmiller, pardoll, powderly, sharfman, smith, sosman, spigel, sznol, taube, wigginton, xu]	
